Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Serine_(4TMS)_BP_RI:1571_IDENT:C+D,2142955.0,3043813.0,7226482.0,3128539.0,3153023.0,8470548.0,9463301.0,1.1648418E7,1.2262956E7,4742522.0,3648158.0,6060963.0,6377539.0,6047233.0,8420919.0,7889062.0,9991937.0,1.0638971E7,4249348.0,1948686.0,7040050.0,7198147.0,3909068.0,NA,4259805.0,5348346.0,8564207.0,5541155.0,5055249.0,1.2333724E7,1.5079667E7,3618376.0,1.0994099E7,1.5684267E7,1.3494916E7,6743742.0,290.0 115.0 100.0 276.0 114.0 293.0 
Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D,1942714.0,1525473.0,1430217.0,1112207.0,1291204.0,1666476.0,2081090.0,1233789.0,1688148.0,1800993.0,1430331.0,1396219.0,1392605.0,1764122.0,2259455.0,2082767.0,1387651.0,1763579.0,1628602.0,1739544.0,2243932.0,2011067.0,2578092.0,1927498.0,1701198.0,2204404.0,1925299.0,1674158.0,2103588.0,2277606.0,5364195.0,2469008.0,2921922.0,3445147.0,3505035.0,2603980.0,157.0 149.0 247.0 203.0 129.0 251.0 
Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C,5010396.0,3183131.0,2365979.0,3161145.0,4543894.0,6656773.0,7480315.0,5989439.0,5890151.0,5219130.0,4194354.0,4253276.0,4629010.0,6476428.0,7378222.0,7569418.0,2549397.0,3178160.0,2366841.0,2729690.0,2441049.0,3241390.0,3928472.0,2736169.0,3246322.0,6021603.0,3358775.0,3808048.0,5185766.0,3409398.0,5744284.0,2487075.0,2634465.0,3830710.0,3690472.0,3257104.0,156.0 112.0 170.0 89.0 198.0 200.0 203.0 
Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B,3075364.0,3497054.0,7939867.0,3058179.0,5101507.0,9840009.0,1.3993495E7,8889454.0,1.5001272E7,5464918.0,4112453.0,9136652.0,8372268.0,1.1202018E7,9054764.0,9996686.0,1972695.0,1.0462407E7,6342032.0,4815604.0,1.0117712E7,1.3099589E7,1.130796E7,6849828.0,7655933.0,1.633928E7,1.3249014E7,9529054.0,1.6567778E7,9740706.0,2.289414E7,5470478.0,9534435.0,1.690053E7,1.6156664E7,8958314.0,187.0 216.0 143.0 142.0 186.0 
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C,9511211.0,8628892.0,7647225.0,5816810.0,9946353.0,9877425.0,1.0766751E7,8635619.0,9652990.0,9395517.0,6376020.0,8354123.0,9337686.0,1.1056547E7,1.0833258E7,1.0100563E7,6229199.0,NA,NA,NA,NA,NA,2002189.0,NA,1921676.0,4219344.0,3507850.0,1752004.0,2000720.0,4517728.0,7976129.0,3659206.0,6840161.0,5892548.0,6287019.0,7533030.0,86.0 114.0 100.0 188.0 130.0 
Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D,2.7711466E7,1.4127236E7,1.5065117E7,5380806.0,NA,1.3363671E7,1.4675125E7,1.512959E7,1.7090114E7,1.0245397E7,1.5355392E7,1.2982078E7,1.2649737E7,1.8696394E7,2.2487306E7,1.0467663E7,3.3507363E7,1.980298E7,1.9304103E7,2.5560527E7,2.3943704E7,3.6998703E7,4.4802208E7,1.8510804E7,3.3079347E7,3.7247824E7,3.70447E7,4.5057914E7,5.1100546E7,3.4809578E7,3.0406947E7,2.6075828E7,2.1995395E7,3.6665611E7,3.2819226E7,3.4275156E7,217.0 211.0 135.0 133.0 369.0 371.0 
Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B,1.50871936E8,9.8828887E7,8.0404674E7,3.4973376E7,1.41524907E8,1.11367911E8,1.26475985E8,4.7916284E7,9.8457353E7,1.69008498E8,8.2487261E7,4.4470079E7,4.8356363E7,7.2438526E7,1.21478125E8,1.1108371E8,1336854.0,NA,NA,NA,NA,NA,NA,NA,NA,7608371.0,3883584.0,3418007.0,5762379.0,7464621.0,1.8449998E7,1.2239684E7,1.3969143E7,1.4335749E7,8868672.0,2.1721905E7,246.0 247.0 100.0 156.0 128.0 250.0 101.0 160.0 131.0 
Phenylalanine_(2TMS)_MP_RI:1625_IDENT:B+C,5.8154249E7,4.6335274E7,1.03253451E8,2.2476224E7,5.4196649E7,1.26785556E8,1.59584997E8,1.11252597E8,1.90135836E8,1.01426631E8,4.5085724E7,5.718184E7,5.9191755E7,6.2718295E7,1.10456283E8,1.23329231E8,4389033.0,NA,NA,NA,NA,NA,NA,NA,426874.0,1.0936335E7,1.1630108E7,1.0488677E7,1.5341275E7,2.5593412E7,3.1745815E7,1.629367E7,2.4242335E7,3.8254144E7,3.4292819E7,3.3592622E7,192.0 218.0 91.0 219.0 100.0 
Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D,2765861.0,3107988.0,5381329.0,3145625.0,3906241.0,5353865.0,6316712.0,5796078.0,7305374.0,4805319.0,4112478.0,4970582.0,4853751.0,5572251.0,5257624.0,5381614.0,235432.0,NA,382682.0,NA,NA,NA,NA,NA,NA,2307020.0,2974833.0,1651857.0,2170352.0,2309994.0,6045943.0,3030564.0,2627622.0,4311967.0,3374369.0,4954395.0,103.0 133.0 217.0 189.0 307.0 
Arabitol_(5TMS)_MP_RI:1711_IDENT:C+D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004906.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3715158.0,NA,NA,NA,NA,2618014.0,217.0 117.0 129.0 205.0 103.0 
