Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Ornithine_(4TMS)_MP_RI:1812_IDENT:B+D,979820.8807163701,785492.2309082344,1391178.858569823,NA,1643295.6364566616,151878.62765986854,4937474.36803087,2904457.79224779,5238062.260303836,1759797.307160324,2222790.0201714346,4879775.826871428,1893776.7039389648,2580872.442295713,2001252.0260558978,6909260.676561652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.0 143.0 100.0 174.0 142.0 
Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D,7215985.518335955,6395887.999456236,6235254.265900645,4288169.601889788,1.2853824663142422E7,NA,1.7438449930763833E7,1.2643134798730088E7,2.067004918268451E7,3916380.1695093913,9692373.618951967,4.7621334537880465E7,1.853537480153517E7,2.1391890637834553E7,NA,1.5767709697788836E7,658344.3413992072,166267.47143697966,135495.58264497537,81751.14762239819,808926.2854052559,360614.439267375,417571.8484495705,274119.5103919308,787924.6893092677,3.1127713609905507E7,2710055.0666968217,2938007.906565031,1.2642824435069837E7,5540354.206072978,8734492.070176609,3511420.144642477,1.369114823984029E7,1.2887344294934116E7,1.4468477239295041E7,1.435182614050346E7,149.0 273.0 183.0 133.0 211.0 275.0 277.0 278.0 
Lysine_(3TMS)_BP_RI:1849_IDENT:A+C,3556601.387791865,8181726.991137302,1.1176885453633155E8,1.2607652523048898E7,1.7767586731066387E7,1478543.3063121508,1.5769443865487927E8,1.3038319560423078E8,1.765533026073468E8,5.0055970426589966E7,6.697856369070133E7,8.118321370195991E7,2.4376989831109934E7,4.063655541075524E7,NA,2.2708065545223743E8,NA,NA,NA,NA,NA,NA,NA,NA,1.2192020961039033E7,3.417965385252197E7,2.1924438157706987E7,3.507533892624478E7,1.6132047888094477E7,2.4533952343250223E7,4.243210266535582E7,1.9293195736523993E7,2.2588830862840462E7,1.1457532073854111E8,1.3652309876739553E8,4.369428715015709E7,86.0 200.0 156.0 100.0 174.0 
Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C,1.4122153560279887E7,1.554247847283124E7,3.102437285259837E7,1.6830349224221606E7,4.5105148603017315E7,1.6847326971229855E7,7.105619929671992E7,5.676706003796835E7,8.73301445139885E7,1.8058038229261853E7,4.8403601167075746E7,2.0943051135315067E8,7.701358218811311E7,9.392532600013605E7,3.048935055663015E9,5.895465712655559E7,6.3336199601506196E7,1.5041368180168346E8,7.399972408596574E7,4.779138880904318E7,6.39205864170066E8,2.200571704183857E8,9.846517074765645E7,9.020436529927851E7,1.0332868140375702E8,3.272624601707129E8,8.707302885652198E7,1.5145257022283798E8,1.2752132557146247E8,3.3928684285780646E7,5.372318846661924E7,3.081521413608355E7,6.928425258628568E7,1.8819680240417454E8,2.229134850122243E8,8.932809124046119E7,133.0 103.0 217.0 89.0 117.0 220.0 
Adenine_(2TMS)_MP_RI:1866_IDENT:C+D,3673407.119448263,2553773.920642564,1434215.846456744,2449012.805159355,2718079.177151752,NA,6015452.271003798,4471694.246233547,6035686.044136999,2964672.4333577766,6818071.806669631,9744459.341147842,4142984.384864861,3781891.6482543764,NA,9257657.79316346,NA,NA,NA,NA,NA,NA,NA,NA,1605077.172338539,2255668.3410134153,NA,1946958.852875245,929507.0865928535,547263.1731537712,1015851.625248491,432955.24707785,899280.823373391,1610347.7393795936,2427862.4997204244,1757074.2042241285,192.0 265.0 99.0 264.0 279.0 
Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C,2.1926462384540193E7,2.1373081176445633E7,5.095187849856862E7,2.471639410325178E7,3.61872525532367E7,1.0884621783258036E7,6.030781669545898E7,4.6753991784300715E7,6.2712298692008756E7,2.1612980813072227E7,5.981770580496953E7,1.962105608592774E8,1.1316090606657943E8,1.6152065993307227E8,1.1426096372336879E9,8.573248135873248E7,2.748524524517999E8,4.423453352127958E7,9.915287421450908E7,3.60624194579616E7,1.2814085460536717E8,1.2456178246962246E8,1.3167846044901696E8,4.903561774521173E7,1.0311943555358201E8,1.4752755853900424E8,3.322148791756034E7,1.900516414898532E8,3.667389653182782E7,4509469.990247503,9174607.01334929,5062850.556212087,3.389246209625247E7,4.054341366219182E7,4.400389420784669E7,1.692158187461835E7,217.0 133.0 117.0 89.0 103.0 220.0 
Tyrosine_(2TMS)_BP_RI:1883_IDENT:B+D,NA,NA,8.520901237519946E8,5.0546314037359655E8,5.2996387205085886E8,1098003.7589507662,1.4124637022229195E9,1.1589796769167147E9,NA,6.28817182803087E8,1.5826834469614751E9,2.2051580632472644E9,7.217204696463131E8,7.833585567418537E8,NA,NA,1.0851165934078157E8,NA,NA,NA,NA,1.2760439455740546E8,NA,NA,1.0978858103538553E8,2.7876585510457784E8,1.235022341250508E8,NA,NA,NA,1.4345357101003045E8,9.488547749448165E7,1.1710521536327536E8,2.3997896883298936E8,2.932196355086243E8,2.5982226774979186E8,180.0 179.0 91.0 208.0 146.0 
Lysine_(4TMS)_MP_RI:1915_IDENT:A+C,2.2967782659886856E7,2.0050619849044204E7,6.779402848574175E7,1.875829990436587E7,2.20544557896373E7,1.2363549093423623E8,2.454102292939541E8,3.767380420408297E8,4.6339037759984815E8,4.287003661954571E7,7.595069517128989E7,9.200216741832487E7,2.5898491887353204E7,2.784929400850809E7,3.6377194607314E7,1.7153889366780284E8,NA,4.271804103290189E7,1.7085495696278583E7,NA,6.051728180890249E8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.0 156.0 174.0 100.0 128.0 
Sorbitol_(6TMS)_MP_RI:1926_IDENT:A+D,2.0761255914255053E8,3.5905302936212605E8,6.685746733149526E8,4.6154305247636116E8,3.636860607788639E8,NA,8.939158978336207E8,7.59589996242957E8,8.884110116061351E8,3.7908588265701145E8,1.0506038527776338E9,1.5278625976628864E9,5.1154579568156993E8,4.928404617881548E8,NA,1.1345577477038589E9,NA,NA,9.013012550340834E7,3.007642040537248E8,NA,NA,NA,NA,NA,1.025295634204216E9,NA,4.5333909247228545E8,3.973950252333346E8,3.375297572827146E8,4.417865260352222E8,NA,NA,NA,NA,NA,205.0 217.0 129.0 103.0 117.0 207.0 220.0 132.0 104.0 119.0 
Glucuronic acid_(1MEOX)(5TMS)_MP_RI:1927_IDENT:A+C,7.4665593756369E7,1.3215176307004148E8,1.264066741309702E8,7.840424666238491E7,1.4885290789566007E8,NA,1.6832370505338007E8,NA,1.8809930694547385E8,1.0789706474587809E8,1.9372615427122855E8,2.937586646670834E8,1.3827431603617972E8,1.7741735668409425E8,NA,2.259693827112097E8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.931908800652909E8,NA,NA,NA,NA,160.0 133.0 333.0 89.0 103.0 
